"Spent $10,000 on Rep Belt From The Real Real. My sales associate is really trying to argue that this is authentic 🤣 insane that they keep pushing this garbage through. When you send them authentic listings to compare, they claim those listings are too old to compare to.",authentication
Post/info that's pretty informative for LC. There's a post going around that's beneficial for anyone trying to make sure their clothes are authentic. Since reps are getting so good now I think it could help a lot of people. The silver strip has printing on it which can be seen with most phones cameras very close up. Apparently all the different fakes just have dots but are missing the actual printed pattern. If I'm wrong on this lmk. I checked all my pieces that I didn't get directly from a boutique myself. Luckily everything checks out. Last 3 pics are my own shots. But it's a little scary how good the fake stuff is getting. A quick glance at tags is no longer good enough IMO.,authentication
"Hypocrisy, genuinely don't get how this Two Chains guy gets so much praise. He talks like he's been a serious collector since 2003, buying from places like Rinkan and only dealing with authentic pieces. But after what I came across, that image doesn't really add up. I was trying to legit check a ring when I found a bunch of deleted posts that still had his comments under them. In those comments, he was openly talking about replica pieces, even explaining how to tarnish fake jewelry so it looks more real.",authentication
Assuming its real. Found a 1995 Chrome Hearts Mens Suede Jacket deep in my storage unit a few days ago. Everything seems legit with it but would anyone suggest I get it professionally cleaned or just sell it as is?,authentication
Shirt I found. Assuming it's not real but the stitching on this tag makes me think this isn't real but this is the first piece I've ever come past so I really have no idea.,authentication
Anyone have any info on this leather pillow cover? Not sure if authentic but the stitches are super nice and the leather is very supple. Can't find much info about it online.,authentication
Wanting to make sure the hardware is legit before i buy. Real bapesta customized with CH but idk if it's real hardware.,authentication
LC - Chrome Hearts Rolling Stones Buckle. Looking to get a legit check on this Chrome Hearts Rolling Stones Buckle posted on Grailed for 5k.,authentication
"Chrome Hearts jewellery in my scrap silver bags. Picked this up in my scrapping junk and it has tested as silver, is there any value in this brand or do I just process as usual and make my bullion?",authentication
What StockX Sent Me. I feel like any reasonable person who has seen this hoodie could tell it's fake. I know i'm dumb for ordering off stockx but still.,authentication
Opinion needed asap. Just picked this up for $250 what do you guys think.,authentication
"Help me confirm please. I saw this bracelet pop up on IG from Showroom LA. It looks like a bad rep to me. I have this bracelet, a legit and rep version. It looks too phony to me, almost worse than my rep. The last three pics are of the legit one, purchased from Rinkan. The red flags for me are the STONES spell out looks funny and not connected, just like my rep does. The engraving is off, the color, the lack of teeth in the lips, the ID link part is shaped differently.",authentication
"LC please, purchase at a resell shop called Seoul vintage in Korea for $2,500.",authentication
"LC on this long-sleeve. Hi, I found this on Grailed for $1800, would like to know if it's legit before buying. Seller seems to have a decent reputation.",authentication
"Chrome Hearts Cross Patch Jeans LC. Offered to me from someone that claimed to be nephew to owner of Libra Leather. Paid 8k. Any extra info would be amazing, been stressing out trying to find the right answer.",authentication
"19in fancy wallet chain LC. Grabbed this from groupienyc - can return if it isn't authentic in two days in LA. Weight checks out, and compared to my retail fancy keychain. I'm not an expert tho so any expert help is welcome.",authentication
I just got these Carpenter shorts they look okay to me but need a second opinion. I got them for 3400usd.,authentication
"lc? can anyone tell me if this is real or any details on it, i haven't been able to find this same hoodie online at all.",authentication
Need to lc this. Its an old piece from the early 2000s thats why the tags are different.,authentication
Bought this yesterday for $900 CAD. What do you think? I heard the line on the CH Barcode tag isn't supposed to be reflective/shiny and it definitely is. Is that real legit check standard for Chrome apparel?,authentication
"Legit Check on this mini cross ball ring. Bought off FB marketplace, let me know.",authentication
"Legit check on Coxucker glasses listed on Vinted for 1100 euros, are they authentic?",authentication
Authentication Check. Some random dude came into my work and prayed for me and then gave me this and told me he had gotten it from Paris. Not sure if it's real but it's got good weight to it and the engraving is decent.,authentication
"Chrome hearts necklace, real or fake? Hi all, I got gifted this necklace a few months ago, it was not brand new and it was given to me by a family friend. I wore it yesterday night, and I got told by someone at the bar that it is a rare and expensive necklace. Can anyone shed a bit of clarity?",authentication
"Can anyone LC this CH cross ring? Bought it off Depop for $350, the engraving looks a little shallow compared to reference pics I've seen online. Seller had decent reviews but I'm nervous.",authentication
"LC needed urgently - Chrome Hearts floral hoodie from StockX. The drawstrings don't have the CH cross hardware and the tag font looks slightly off. Paid $800, can return within 3 days please help.",authentication
